rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnMAID
HMR_4040	R01130	IMPD	R01130C	r0274		IMPD	MNXR100830	HMR_4040	RCR14224		0	MA_04040
HMR_4042	R01135	ADSS	R01135C	r0277		ADSS	MNXR95495	HMR_4042	RCR14225		0	MA_04042
HMR_4046	R01231	GMPS2	R01231C	r0302		GMPS2	MNXR100384	HMR_4046	RCR10476		0	MA_04046
HMR_4048	R01234	PDE4	R01234C	r0303		PDE4	MNXR100078	HMR_4048	RCR10477		0	MA_04048
HMR_4080	R00181	AMPDA	R00181C	r0044		AMPDA	MNXR95824	HMR_4080	RCR14226		0	MA_04080
HMR_4085	R00190	ADPT	R00190E	r0050		ADPT	MNXR95482	HMR_4085	RCR14227		0	MA_04085
HMR_4086	R00190		R00190E	r0051		r0051	MNXR95482	HMR_4086	RCR30501		0	MA_04086
HMR_4134	R00328	NDP3ex	R00328C	r0098		NDP3ex	MNXR101928	HMR_4134	RCR30502		0	MA_04134
HMR_4135	R00332	GK1m	R00332M	r0102		GK1m	MNXR100144	HMR_4135	RCR11112		0	MA_04135
HMR_4168	R00426		R00426M	r0119		r0119	MNXR102052	HMR_4168	RCR10478		0	MA_04168
HMR_4171	R00430		R00430C	r0122		r0122	MNXR100460	HMR_4171	RCR10289		0	MA_04171
HMR_4290	R00719		R00719C	r0181		r0181	MNXR100892	HMR_4290	RCR30503		0	MA_04290
HMR_4406	R01072	GLUPRT	R01072C	r0257		GLUPRT	MNXR100287	HMR_4406	RCR14228		0	MA_04406
HMR_4412	R01083	ADSL1r	R01083C	r0260		ADSL1	MNXR95493	HMR_4412	RCR11113		0	MA_04412
HMR_4417	R01126	NTD11	R01126C	r0272		NTD11	MNXR102030	HMR_4417	RCR14229		0	MA_04417
HMR_4418	R01132	HXPRT	R01132E	r0275		HXPRT	MNXR100752	HMR_4418	RCR14230		0	MA_04418
HMR_4419	R01134		R01134C	r0276		GMPR; r0276	MNXR100382	HMR_4419	RCR14231		0	MA_04419
HMR_4421	R01138		R01138C	r0280		r0280	MNXR97145	HMR_4421	RCR10290		0	MA_04421
HMR_4449	R01227	NTD9	R01227C	r0297		NTD9	MNXR100381	HMR_4449	RCR11114		0	MA_04449
HMR_4450	R01227	NTD9e	R01227C	r0298		NTD9e	MNXR100381	HMR_4450	RCR30504		0	MA_04450
HMR_4451	R01228	GSNKm		r0299		GSNKm	MNXR100432	HMR_4451	RCR11115		0	MA_04451
HMR_4452	R01229	GUAPRT	R01229E	r0300		GUAPRT	MNXR100409	HMR_4452	RCR14232		0	MA_04452
HMR_4453	R01230		R01230C	r0301		r0301	MNXR100383	HMR_4453	RCR10479		0	MA_04453
HMR_4480	R01547		R01547C	r0345		r0345	MNXR96117	HMR_4480	RCR11116		0	MA_04480
HMR_4481	R01560	ADA	R01560C	r0346		ADA	MNXR95432	HMR_4481	RCR11117		0	MA_04481
HMR_4482	R01560	ADAe	R01560C	r0347		ADAe	MNXR95432	HMR_4482	RCR30092		0	MA_04482
HMR_4486	R00725			r0354		r0354	MNXR105324	HMR_4486	RCR14233		0	MA_04486
HMR_4487	R01139			r0355		r0355	MNXR105325	HMR_4487	RCR10153		0	MA_04487
HMR_4488	R00876			r0357		r0357	MNXR105326	HMR_4488	RCR14234		0	MA_04488
HMR_4489	R01140			r0358		r0358	MNXR105327	HMR_4489	RCR14235		0	MA_04489
HMR_4492	R01327			r0360		r0360	MNXR105328	HMR_4492	RCR14236		0	MA_04492
HMR_4493	R01330			r0361		r0361	MNXR105329	HMR_4493	RCR10086		0	MA_04493
HMR_4495	R01964			r0363		r0363	MNXR105330	HMR_4495	RCR14237		0	MA_04495
HMR_4496	R01965			r0364		r0364	MNXR105331	HMR_4496	RCR11118		0	MA_04496
HMR_4518	R01676	GUAD	R01676C	r0379		GUAD	MNXR100464	HMR_4518	RCR11119		0	MA_04518
HMR_4519	R01768		R01768X	r0394		r0394	MNXR100747	HMR_4519	RCR11120		0	MA_04519
HMR_4520	R01769		R01769X	r0395		r0395	MNXR105229	HMR_4520	RCR11121		0	MA_04520
HMR_4573	R01858		R01858C	r0413		r0413	MNXR95613	HMR_4573	RCR10291		0	MA_04573
