rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnMAID
HMR_4593	R01896					XYLTD_Dr; r0784	MNXR105262	HMR_4593	RCR11057		0	MA_04593
HMR_4594	R01430					HMR_4594	MNXR105257	HMR_4594	RCR11058		0	MA_04594
HMR_4595	R01639					XYLK	MNXR105255	HMR_4595	RCR14209		0	MA_04595
HMR_8341	R01759	ARABR				ARABR	MNXR95911	HMR_8341	RCR11059		0	MA_08341
HMR_8342	R01903	ABTD				ABTD	MNXR95187	HMR_8342	RCR11060		0	MA_08342
HMR_8344	R01481	GULNDer				GULNDer	MNXR100472	HMR_8344	RCR11061		0	MA_08344
HMR_8352	R02640	GULN3D				GULN3D	MNXR100471	HMR_8352	RCR11062		0	MA_08352
HMR_8353	R01905	DHAPAx				DGULND	MNXR97362	HMR_8353	RCR11063		0	MA_08353
HMR_8726	R01526	RBK_Dr				RBK_D	MNXR103432	HMR_8726	RCR11064		0	MA_08726
HMR_8727		UDPG1P				UDPG1P	MNXR105055	HMR_8727	RCR10458		0	MA_08727
HMR_8728		GUR1PP				GUR1PP	MNXR100480	HMR_8728	RCR10459		0	MA_08728
HMR_8729	R08615	UDPGNP				UDPGNP	MNXR105069	HMR_8729	RCR10085		0	MA_08729
HMR_6537	R01481		RE0383C			RE0383C	MNXR100472	HMR_6537	RCR11065		0	MA_06537
HMR_1568	R00710	ALDD2x	R00710C	r0176		ALDD2x	MNXR95749	HMR_1568	RCR10149		0	MA_01568
HMR_3853	R02530	LGTHL				LGTHL	MNXR100355	HMR_3853	RCR11066		0	MA_03853
HMR_3854	R02531					ALCD22_L	MNXR95715	HMR_3854	RCR11067		0	MA_03854
HMR_3855	R02577					HMR_3855	MNXR107414	HMR_3855	RCR11068		0	MA_03855
HMR_3857	R01736	GLYOX				GLYOX	MNXR100353	HMR_3857	RCR11069		0	MA_03857
HMR_3859	R00197	D_LACDcm				HMR_3859	MNXR106428	HMR_3859	RCR21043		0	MA_03859
HMR_4087	R00214	ME1m	R00214C	r0057		ME1m	MNXR101446	HMR_4087	RCR10281		0	MA_04087
HMR_4089	R00216	ME2	R00216C	r0058		ME2	MNXR101443	HMR_4089	RCR11070		0	MA_04089
HMR_4091	R00216	ME2m	R00216C	r0059		ME2m	MNXR101443	HMR_4091	RCR10282		0	MA_04091
HMR_4093	R00227	ACOAH	R00227C	r0061		ACOAHi	MNXR95363	HMR_4093	RCR10003		0	MA_04093
HMR_4095	R00227	ACOAHim	R00227C	r0062		r0062	MNXR95363	HMR_4095	RCR10150		0	MA_04095
HMR_4101	R00431	PEPCK_re	R00431C	r0123		PEPCK	MNXR102487	HMR_4101	RCR10283		0	MA_04101
HMR_4103	R00431	PEPCKm	R00431C	r0124		PEPCKm	MNXR102487	HMR_4103	RCR11071		0	MA_04103
HMR_4143	R00344	PCm	R00344C	r0106		PCm	MNXR102391	HMR_4143	RCR11072		0	MA_04143
HMR_4193	R00572			r0153		r0153	MNXR103373	HMR_4193	RCR11073		0	MA_04193
HMR_8497	R02528	ALR2				ALR2	MNXR95788	HMR_8497	RCR11074		0	MA_08497
HMR_8498		ACTNMO				ACTNMO	MNXR95423	HMR_8498	RCR11075		0	MA_08498
HMR_8499		ACTLMO				ACTLMO	MNXR95422	HMR_8499	RCR11076		0	MA_08499
HMR_8500		ALR3				ALR3	MNXR95789	HMR_8500	RCR11077		0	MA_08500
HMR_8501		LALDD				HMR_8501	MNXR101007	HMR_8501	RCR11078		0	MA_08501
HMR_8502	R03082	LALDO				LALDO	MNXR101009	HMR_8502	RCR10284		0	MA_08502
HMR_8503		LCADi				LCADi	MNXR101018	HMR_8503	RCR11079		0	MA_08503
HMR_8504	R01735	LCADi_D				LCADi_D	MNXR101019	HMR_8504	RCR11080		0	MA_08504
HMR_8506		LCADm				LCADim	MNXR101018	HMR_8506	RCR11081		0	MA_08506
HMR_8507		ALCD21_D				ALCD21_D; PPDOx	MNXR95713	HMR_8507	RCR10151		0	MA_08507
HMR_8508		LCARS				ALCD21_L	MNXR95714	HMR_8508	RCR11082		0	MA_08508
HMR_8509		PPDOy				PPDOy	MNXR103108	HMR_8509	RCR11083		0	MA_08509
HMR_8511	R01736	GLYOXm				GLYOXm	MNXR100353	HMR_8511	RCR11084		0	MA_08511
HMR_8512	R00704	LDH_D				LDH_D	MNXR101037	HMR_8512	RCR11085		0	MA_08512
HMR_8514	R00196	L_LACDcm				L_LACDcm		HMR_8514	RCR21044		0	MA_08514
HMR_8516	R01016	MGSA				MGSA	MNXR101551	HMR_8516	RCR14210		0	MA_08516
HMR_8517	R01016	MGSA2				MGSA2	MNXR101551; MNXR101552	HMR_8517	RCR11086		0	MA_08517
HMR_4280	R00703	LDH_Lm	R00703C	r0172		LDH_Lm	MNXR101040	HMR_4280	RCR11087		0	MA_04280
HMR_0153	R00925	ACS2		r0218		ACS2	MNXR106753; MNXR95222	HMR_0153	RCR10460		0	MA_00153
HMR_3212	R00924	PPCOAOm				PPCOAOm	MNXR103101	HMR_3212	RCR11088		0	MA_03212
HMR_3797	R00925	ACCOALm		r0219		ACCOALm	MNXR106753; MNXR95222	HMR_3797	RCR14211		0	MA_03797
HMR_3800		OBDHm		r1154		r1154	MNXR102133	HMR_3800	RCR10461		0	MA_03800
HMR_4105	R00233	MCD		r0063		MCD	MNXR101412	HMR_4105	RCR10285		0	MA_04105
HMR_4106	R00233	MCDm		r0064		MCDm	MNXR101412	HMR_4106	RCR11089		0	MA_04106
HMR_4107	R00233	MCDp		r0065		MCDp	MNXR101412	HMR_4107	RCR14212		0	MA_04107
HMR_4282	R00705	MMSAD3m	R00705M	r0174		MMSAD3m	MNXR101665	HMR_4282	RCR10462		0	MA_04282
