mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID
"m00109r"	"m00109"	"tetpent6crn"	""	""	""	""	""	""	""	"tetpent6crn"	"MNXM9140"	"m00109r"
"m00110c"	"m00110"	"tetpent6coa"	"C16172"	""	"CHEBI:63546"	"23724649"	"LMFA07050042"	"CE4836"	""	"tetpent6coa"	"MNXM5944"	"m00110c"
"m00110p"	"m00110"	"tetpent6coa"	"C16172"	""	"CHEBI:63546"	"23724649"	"LMFA07050042"	"CE4836"	""	"tetpent6coa"	"MNXM5944"	"m00110p"
"m00110r"	"m00110"	"tetpent6coa"	"C16172"	""	"CHEBI:63546"	"23724649"	"LMFA07050042"	"CE4836"	""	"tetpent6coa"	"MNXM5944"	"m00110r"
"m00111c"	"m00111"	"tetpent6"	""	""	""	"14505435"	"LMFA01030820"	"CE4839"	""	"tetpent6"	"MNXM12998"	"m00111c"
"m00111l"	"m00111"	"tetpent6"	""	""	""	"14505435"	"LMFA01030820"	"CE4839"	""	"tetpent6"	"MNXM12998"	"m00111l"
"m00111r"	"m00111"	"tetpent6"	""	""	""	"14505435"	"LMFA01030820"	"CE4839"	""	"tetpent6"	"MNXM12998"	"m00111r"
"m00111s"	"m00111"	"tetpent6"	""	""	""	"14505435"	"LMFA01030820"	"CE4839"	""	"tetpent6"	"MNXM12998"	"m00111s"
"m00112c"	"m00112"	""	""	""	""	""	""	""	""	"M00112"	""	"m00112c"
"m00112r"	"m00112"	""	""	""	""	""	""	""	""	"M00112"	""	"m00112r"
"m00113c"	"m00113"	"tethex3coa"	"C16168"	""	""	"53477806"	"LMFA07050051"	""	""	"tethex3coa"	"MNXM6449; MNXM846"	"m00113c"
"m00113p"	"m00113"	"tethex3coa"	"C16168"	""	""	"53477806"	"LMFA07050051"	""	""	"tethex3coa"	"MNXM6449; MNXM846"	"m00113p"
"m00113r"	"m00113"	"tethex3coa"	"C16168"	""	""	"53477806"	"LMFA07050051"	""	""	"tethex3coa"	"MNXM6449; MNXM846"	"m00113r"
"m00114c"	"m00114"	"tethex3"	""	"HMDB13025"	""	"53481586"	"LMFA01030822"	"CE4786"	""	"tethex3"	"MNXM12996; MNXM38482; MNXM83807"	"m00114c"
"m00114l"	"m00114"	"tethex3"	""	"HMDB13025"	""	"53481586"	"LMFA01030822"	"CE4786"	""	"tethex3"	"MNXM12996; MNXM38482; MNXM83807"	"m00114l"
"m00114r"	"m00114"	"tethex3"	""	"HMDB13025"	""	"53481586"	"LMFA01030822"	"CE4786"	""	"tethex3"	"MNXM12996; MNXM38482; MNXM83807"	"m00114r"
"m00114s"	"m00114"	"tethex3"	""	"HMDB13025"	""	"53481586"	"LMFA01030822"	"CE4786"	""	"tethex3"	"MNXM12996; MNXM38482; MNXM83807"	"m00114s"
"m00115c"	"m00115"	""	""	""	""	""	"LMFA01030068"	""	""	"M00115"	"MNXM24151; MNXM26693"	"m00115c"
"m00115l"	"m00115"	""	""	""	""	""	"LMFA01030068"	""	""	"M00115"	"MNXM24151; MNXM26693"	"m00115l"
"m00115r"	"m00115"	""	""	""	""	""	"LMFA01030068"	""	""	"M00115"	"MNXM24151; MNXM26693"	"m00115r"
"m00115s"	"m00115"	""	""	""	""	""	"LMFA01030068"	""	""	"M00115"	"MNXM24151; MNXM26693"	"m00115s"
"m00116c"	"m00116"	""	""	""	""	""	""	""	""	"M00116"	""	"m00116c"
"m00116m"	"m00116"	""	""	""	""	""	""	""	""	"M00116"	""	"m00116m"
"m00116r"	"m00116"	""	""	""	""	""	""	""	""	"M00116"	""	"m00116r"
"m00117c"	"m00117"	""	""	""	"CHEBI:53206"	""	"LMFA01030249"	""	""	"M00117"	"MNXM153529"	"m00117c"
"m00117l"	"m00117"	""	""	""	"CHEBI:53206"	""	"LMFA01030249"	""	""	"M00117"	"MNXM153529"	"m00117l"
"m00117r"	"m00117"	""	""	""	"CHEBI:53206"	""	"LMFA01030249"	""	""	"M00117"	"MNXM153529"	"m00117r"
"m00117s"	"m00117"	""	""	""	"CHEBI:53206"	""	"LMFA01030249"	""	""	"M00117"	"MNXM153529"	"m00117s"
