mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID
"m00063m"	"m00063"	""	""	""	""	""	""	""	""	"M00063"	"MNXM20340"	"m00063m"
"m00064c"	"m00064"	""	""	""	""	""	""	"CE2245"	""	"CE2245"	"MNXM165192; MNXM97616"	"m00064c"
"m00064p"	"m00064"	""	""	""	""	""	""	"CE2245"	""	"CE2245"	"MNXM165192; MNXM97616"	"m00064p"
"m00065c"	"m00065"	""	"C05760"	""	""	""	""	""	"HC01603"	"HC01603"	"MNXM24297"	"m00065c"
"m00066m"	"m00066"	""	"C05273"	""	"CHEBI:27721"	""	"LMFA07050021"	""	"HC01412"	"HC01412"	"MNXM654"	"m00066m"
"m00066p"	"m00066"	""	"C05273"	""	"CHEBI:27721"	""	"LMFA07050021"	""	"HC01412"	"HC01412"	"MNXM654"	"m00066p"
"m00067c"	"m00067"	""	""	""	""	""	""	""	""	"M00067"	"MNXM163027"	"m00067c"
"m00068c"	"m00068"	""	""	""	""	""	""	""	""	"M00068"	""	"m00068c"
"m00069m"	"m00069"	""	""	""	""	""	""	""	""	"M00069"	""	"m00069m"
"m00070c"	"m00070"	""	""	""	""	""	""	""	""	"M00070"	""	"m00070c"
"m00071m"	"m00071"	""	""	""	""	""	""	""	""	"M00071"	"MNXM170117"	"m00071m"
"m00072m"	"m00072"	""	""	""	""	""	""	"CE2441"	""	"CE2441"	""	"m00072m"
"m00072p"	"m00072"	""	""	""	""	""	""	"CE2441"	""	"CE2441"	""	"m00072p"
"m00073m"	"m00073"	""	""	""	""	""	""	"CE2437"	""	"CE2437"	""	"m00073m"
"m00073p"	"m00073"	""	""	""	""	""	""	"CE2437"	""	"CE2437"	""	"m00073p"
"m00074c"	"m00074"	""	""	""	""	""	""	"CE4835"	""	"CE4835"	"MNXM145822"	"m00074c"
"m00075p"	"m00075"	""	""	""	"CHEBI:20067"	""	"LMFA07050065"	"CE5126"	""	"CE5126"	"MNXM108213; MNXM35866"	"m00075p"
"m00076p"	"m00076"	""	""	""	""	""	""	"CE5936"	""	"CE5936"	""	"m00076p"
"m00077p"	"m00077"	"CE2416"	""	""	""	""	""	"CE2416"	""	""	"MNXM165274"	"m00077p"
"m00078p"	"m00078"	"pristcoa"	""	""	"CHEBI:64039"	""	"LMFA07050064"	"CE5125"	""	"CE5125"	"MNXM30947"	"m00078p"
