genes	geneENSTID	geneENSPID	geneUniProtID	geneNames	geneEntrezID
"ENSG00000005469"	"ENST00000331536;ENST00000442291;ENST00000419147;ENST00000412227"	"ENSP00000331981;ENSP00000411983;ENSP00000404867;ENSP00000413575"	"Q9UKG9"	"CROT"	"54677"
"ENSG00000005471"	"ENST00000417608;ENST00000359206;ENST00000643670;ENST00000265723;ENST00000644106;ENST00000649586;ENST00000440025;ENST00000453593;ENST00000358400"	"ENSP00000392983;ENSP00000351172;ENSP00000265723;ENSP00000496629;ENSP00000394511;ENSP00000395716;ENSP00000493477;ENSP00000352135;ENSP00000496956"	"P21439"	"ABCB4"	"5244"
"ENSG00000005483"	"ENST00000474203;ENST00000478990;ENST00000311117;ENST00000473063;ENST00000257745;ENST00000622386;ENST00000482560;ENST00000495267;ENST00000478079;ENST00000476671;ENST00000479838;ENST00000334884;ENST00000667857"	"ENSP00000473963;ENSP00000417193;ENSP00000420415;ENSP00000419883;ENSP00000482147;ENSP00000335398;ENSP00000417156;ENSP00000417888;ENSP00000420206;ENSP00000312379;ENSP00000499735;ENSP00000257745;ENSP00000419525"	"Q8IZD2"	"KMT2E"	"55904"
"ENSG00000005810"	"ENST00000429715;ENST00000612956;ENST00000466564;ENST00000357337;ENST00000544440"	"ENSP00000444596;ENSP00000481482;ENSP00000413907;ENSP00000483488;ENSP00000349892"	"O75592"	"MYCBP2"	"23077"
"ENSG00000005882"	"ENST00000505440;ENST00000512238;ENST00000503614;ENST00000503176;ENST00000508030;ENST00000510219;ENST00000007708;ENST00000614357"	"ENSP00000421178;ENSP00000007708;ENSP00000481915;ENSP00000427682;ENSP00000420927;ENSP00000425615;ENSP00000423310;ENSP00000425265"	"Q15119"	"PDK2"	"5164"
"ENSG00000006007"	"ENST00000569773;ENST00000353258;ENST00000564172;ENST00000569899"	"ENSP00000261386;ENSP00000454755;ENSP00000457431;ENSP00000456295"	"Q9NZC3"	"GDE1"	"51573"
"ENSG00000006062"	"ENST00000376926;ENST00000617331;ENST00000344686"	"ENSP00000478552;ENSP00000482657;ENSP00000480974"	"Q99558"	"MAP3K14"	"9020"
"ENSG00000006071"	"ENST00000646003;ENST00000643260;ENST00000647158;ENST00000645884;ENST00000644542;ENST00000642271;ENST00000646737;ENST00000647013;ENST00000646993;ENST00000531642;ENST00000526168;ENST00000644484;ENST00000642902;ENST00000645744;ENST00000646592;ENST00000302539;ENST00000645076;ENST00000646276;ENST00000644649;ENST00000644675;ENST00000646902;ENST00000612903;ENST00000644447;ENST00000643925;ENST00000647015;ENST00000532728;ENST00000528374;ENST00000645417;ENST00000647086;ENST00000642579;ENST00000643562;ENST00000644472;ENST00000646207;ENST00000645760;ENST00000644757;ENST00000527905;ENST00000644772;ENST00000531891;ENST00000389817"	"ENSP00000496309;ENSP00000495532;ENSP00000303960;ENSP00000495378;ENSP00000495744;ENSP00000493749;ENSP00000494450;ENSP00000494564;ENSP00000433638;ENSP00000495085;ENSP00000496714;ENSP00000493677;ENSP00000495891;ENSP00000495697;ENSP00000496070;ENSP00000493720;ENSP00000374467;ENSP00000435378;ENSP00000431653;ENSP00000495516;ENSP00000494791;ENSP00000495427;ENSP00000495389;ENSP00000434893;ENSP00000494407;ENSP00000494321;ENSP00000495025;ENSP00000496282;ENSP00000437233;ENSP00000495259;ENSP00000496741;ENSP00000494567;ENSP00000494519;ENSP00000494874;ENSP00000483031;ENSP00000494101;ENSP00000496124;ENSP00000493558;ENSP00000493601"	"Q09428"	"ABCC8"	"6833"
"ENSG00000006432"	"ENST00000554146;ENST00000554752;ENST00000381250;ENST00000555993;ENST00000553414;ENST00000611979"	"ENSP00000480011;ENSP00000451921;ENSP00000451263;ENSP00000370649;ENSP00000451612;ENSP00000451038"	"P80192"	"MAP3K9"	"4293"
"ENSG00000006530"	"ENST00000647568;ENST00000648068;ENST00000649286;ENST00000648395;ENST00000650006;ENST00000650547;ENST00000473247;ENST00000649014;ENST00000649790;ENST00000649914;ENST00000648690;ENST00000649365;ENST00000629555;ENST00000650365;ENST00000492693;ENST00000494688;ENST00000473884"	"ENSP00000496835;ENSP00000497666;ENSP00000497039;ENSP00000496789;ENSP00000498193;ENSP00000418789;ENSP00000418101;ENSP00000498112;ENSP00000497457;ENSP00000497984;ENSP00000420540;ENSP00000497848;ENSP00000497280;ENSP00000420776;ENSP00000487274;ENSP00000497358;ENSP00000497945"	"Q53H12"	"AGK"	"55750"
